property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
Colliers Steel Rd,,B,Existing,121000,,$3.47 - 4.24 (Est.),Warehouse,Colliers,100.0,1935.0,1986.0,121000.0,,"40'0""",25'w,8.0,1380a/480v 3p,,Yes,2025 Tax @ $0.0477/sf,,,0,2,Wet,Yes,,40.373065,-80.550803,WV,WV.csv,34,T4-WV-00034,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"Colliers Steel Rd, Colliers, WV",False,54009,Brooke,WV,42,1025.2713473277154,WV
1129 Collins Memorial Dr,,C,Existing,116700,,$5.85 - 7.15 (Est.),Warehouse,Chester,100.0,1900.0,,116700.0,,,,,,,City,2025 Tax @ $0.2419/sf,,,0,,Dry,City,,40.6217862,-80.5533962,WV,WV.csv,35,T4-WV-00035,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1129 Collins Memorial Dr, Chester, WV",False,54029,Hancock,WV,42,1184.1220247552703,WV
100 Commercial St,,C,Existing,169788,,$10.72 - 13.10 (Est.),Warehouse,Mineral Wells,100.0,1998.0,,169788.0,,"27'0""",,,,,,2025 Tax @ $0.3283/sf,,,0,,Yes,,,39.1735189,-81.5357119,WV,WV.csv,36,T4-WV-00036,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"100 Commercial St, Mineral Wells, WV",False,54107,Wood,WV,42,3676.469095439795,WV
144 County Route 35/16,Building 1,B,Existing,110000,,$8.61 - 10.52 (Est.),Warehouse,Poca,100.0,1900.0,,55000.0,,,,,,,,,,,0,,,,,38.501291,-81.8371144,WV,WV.csv,37,T4-WV-00037,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Building 1,False,54079,Putnam,WV,42,2453.276989922623,WV
111 Davisville Rd,,C,Existing,200000,,$10.55 - 12.89 (Est.),Warehouse,Davisville,100.0,2003.0,,200000.0,0.24,"16'0""",,18.0,3p,,,,,,0,"2/10'0""w x 12'0""h",Yes,,50.0,39.2052055,-81.4901686,WV,WV.csv,38,T4-WV-00038,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"111 Davisville Rd, Davisville, WV",False,54107,Wood,WV,42,3676.469095439795,WV
625 Depot St,,C,Existing,236474,,$10.68 - 13.05 (Est.),Warehouse,Parkersburg,,1920.0,,236474.0,0.08,,,7.0,,,,,,,0,Yes,,,20.0,39.2626397,-81.553524,WV,WV.csv,39,T4-WV-00039,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"625 Depot St, Parkersburg, WV",False,54107,Wood,WV,42,3676.469095439795,WV
261 Development Dr,,A,Existing,356700,,$6.65 - 8.13 (Est.),Warehouse,Martinsburg,100.0,2019.0,,356700.0,0.42,"32'0""",52'w x 52'd,45.0,277-480v 3p 4w,,Yes,2025 Tax @ $1.0451/sf,,,0,2,ESFR,Yes,152.0,39.3951969,-78.0201742,WV,WV.csv,40,T4-WV-00040,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"261 Development Dr, Martinsburg, WV",False,54003,Berkeley,WV,8,4229.5714565852395,WV
117 S Fork Rd,,C,Existing,117000,,$5.28 - 6.45 (Est.),Warehouse,Moorefield,100.0,1920.0,2000.0,117000.0,,"16'0""",,5.0,480v 3p,,,2025 Tax @ $0.0306/sf,,,0,2,Wet,,,39.0609943,-78.9647373,WV,WV.csv,41,T4-WV-00041,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"117 S Fork Rd, Moorefield, WV",False,54031,Hardy,WV,34,1806.2543781358324,WV
270 General Woods Dr,Spencer Veneer Plant #2,C,Existing,101864,,$13.16 - 16.09 (Est.),Warehouse,Spencer,100.0,,,101864.0,,"50'8""",,1.0,,,City,,,,0,3,,City,50.0,38.7927598,-81.3384247,WV,WV.csv,42,T4-WV-00042,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Spencer Veneer Plant #2,False,54087,Roane,WV,28,431.75820410408744,WV
319 Georgia Pacific Ave,,B,Existing,180000,,$9.22 - 11.27 (Est.),Warehouse,Mount Hope,100.0,1995.0,,180000.0,0.56,,,3.0,,,City,2025 Tax @ $0.3034/sf,,,0,Yes,Dry,City,100.0,37.8989326,-81.1840782,WV,WV.csv,43,T4-WV-00043,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"319 Georgia Pacific Ave, Mount Hope, WV",False,54019,Fayette,WV,28,1384.3799295125891,WV
2101 Grace St,,C,Existing,135745,,$3.30 - 4.03 (Est.),Warehouse,Culloden,100.0,1991.0,,135745.0,0.0,"14'0""",,4.0,,,City,2025 Tax @ $0.1085/sf,,,0,7,,City,,38.41537,-82.06555,WV,WV.csv,44,T4-WV-00044,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2101 Grace St, Culloden, WV",False,54011,Cabell,WV,42,4583.847771868937,WV
