property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
16 Applegate Dr,,B,Existing,480420,,$7.87 - 9.62 (Est.),Warehouse,Robbinsville,100.0,2008.0,,480420.0,0.23,"36'0""",,56.0,,,,,,,0,4,ESFR,,168.0,40.2022943,-74.5734979,NJ,NJ.csv,34,T4-NJ-00034,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"16 Applegate Dr, Robbinsville, NJ",False,34021,Mercer,NJ,32,15198.51728910717,NJ
200 Arlington Blvd,,A,Existing,302400,,$9.24 - 11.29 (Est.),Distribution,Logan Township,100.0,2017.0,,302400.0,1.26,"36'0""",54'w x 55'd,22.0,2500a,,,2024 Tax @ $1.0662/sf,,,0,"2/12'0""w x 14'0""h",ESFR,,455.0,39.7690155,-75.3339982,NJ,NJ.csv,35,T4-NJ-00035,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"200 Arlington Blvd, Logan Township, NJ",False,34015,Gloucester,NJ,36,13684.2732775389,NJ
800 Arlington Blvd,,A,Existing,470109,,$9.28 - 11.34 (Est.),Warehouse,Swedesboro,100.0,1982.0,2008.0,470109.0,0.22,"30'0""",50'w x 50'd,74.0,1600a,,City,2024 Tax @ $0.9265/sf,,,0,"4/11'0""w x 13'0""h",ESFR,City,103.0,39.773785,-75.3400919,NJ,NJ.csv,36,T4-NJ-00036,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"800 Arlington Blvd, Swedesboro, NJ",False,34015,Gloucester,NJ,36,13684.2732775389,NJ
4 Aurora Dr,,A,Existing,416000,60000.0,$11.73 - 14.33 (Est.),Warehouse,Cranbury,100.0,1998.0,,416000.0,0.24,"32'0""",40'w x 52'd,64.0,Heavy,,City,2024 Tax @ $0.6565/sf,,0.0,0,"1/12'0""w x 16'0""h",ESFR,City,100.0,40.3173867,-74.4998918,NJ,NJ.csv,37,T4-NJ-00037,existing,True,False,direct_existing_facility,60000.0,True,True,True,True,"4 Aurora Dr, Cranbury, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
151 Benigno Blvd,,B,Existing,381890,,$6.53 - 7.98 (Est.),Distribution,Bellmawr,100.0,1962.0,1985.0,381890.0,0.59,"36'0""",,22.0,1200a/277-480v 3p,,County,2025 Tax @ $1.2823/sf,,,0,"3/8'0""w x 15'0""h",Wet,County,232.0,39.862325,-75.0846406,NJ,NJ.csv,38,T4-NJ-00038,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"151 Benigno Blvd, Bellmawr, NJ",False,34007,Camden,NJ,36,19544.77848050503,NJ
421 Benigno Blvd,,C,Existing,300000,,$9.05 - 11.06 (Est.),Distribution,Bellmawr,100.0,1967.0,,300000.0,1.67,,,64.0,,,,,,,0,,,,500.0,39.860653,-75.096001,NJ,NJ.csv,39,T4-NJ-00039,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"421 Benigno Blvd, Bellmawr, NJ",False,34007,Camden,NJ,36,19544.77848050503,NJ
2000 Bishop's Gate Blvd,,A,Existing,309250,,$10.36 - 12.66 (Est.),Distribution,Mount Laurel,100.0,1998.0,2019.0,309250.0,1.71,"30'0""",55'w x 50'd,35.0,3200a/480v 3p,,City,,,,157716,"2/12'0""w x 15'0""h",ESFR,City,553.0,39.9639968,-74.9076053,NJ,NJ.csv,40,T4-NJ-00040,existing,True,False,direct_existing_facility,157716.0,True,True,True,True,"2000 Bishop's Gate Blvd, Mount Laurel, NJ",True,34005,Burlington,NJ,32,18574.571830098812,NJ
255 Blair Rd,,A,Existing,341500,,$12.42 - 15.18 (Est.),Warehouse,Avenel,100.0,2006.0,,341500.0,1.04,"36'0""",50'w,68.0,2000a,,,2024 Tax @ $1.6220/sf,,,0,2,,,356.0,40.5769514,-74.2578227,NJ,NJ.csv,41,T4-NJ-00041,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"255 Blair Rd, Avenel, NJ",False,34023,Middlesex,NJ,15,47721.196222924744,NJ
433 Blair Rd,,B,Existing,453070,,$12.16 - 14.87 (Est.),Warehouse,Avenel,100.0,1980.0,,453070.0,0.39,"39'0""",30'w x 40'd,60.0,277-280v 3p 4w,,City,2024 Tax @ $2.3103/sf,,,0,1,Wet,City,175.0,40.5908811,-74.2547875,NJ,NJ.csv,42,T4-NJ-00042,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"433 Blair Rd, Avenel, NJ",False,34023,Middlesex,NJ,15,47721.196222924744,NJ
2 Brick Plant Rd,SR-40,B,Existing,315000,,$11.33 - 13.85 (Est.),Warehouse,South River,100.0,1996.0,,315000.0,0.3,"28'0""",42'w x 40'd,25.0,800a,,City,2024 Tax @ $1.9112/sf,,,0,"1/14'0""w x 16'0""h",ESFR,City,96.0,40.461185,-74.397421,NJ,NJ.csv,43,T4-NJ-00043,existing,True,False,direct_existing_facility,0.0,False,False,True,True,SR-40,False,34023,Middlesex,NJ,15,47721.196222924744,NJ
155 Broad St,,C,Existing,496584,,$12.66 - 15.47 (Est.),Warehouse,Carlstadt,100.0,1971.0,,260000.0,,,,,,,City,,,,0,,,City,,40.8337315,-74.0808417,NJ,NJ.csv,44,T4-NJ-00044,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"155 Broad St, Carlstadt, NJ",False,34003,Bergen,NJ,9,40572.76221834727,NJ
