property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
550 Forbes Blvd,,B,Existing,222357,222357.0,$8.75 - 10.69 (Est.),Distribution,Mansfield,0.0,1988.0,1995.0,222357.0,0.45,"28'0""",48'w x 48'd,16.0,2000a/480v 3p 4w,,Yes,2025 Tax @ $1.5552/sf,,222357.0,222357,3,Wet,Yes,100.0,42.0136501,-71.2371621,MA,MA.csv,68,T4-MA-00068,existing,True,False,direct_existing_facility,222357.0,True,True,True,True,"550 Forbes Blvd, Mansfield, MA",True,25005,Bristol,MA,33,14111.7303778516,MA
12 Forge Pky,,A,Existing,236331,,$11.57 - 14.14 (Est.),Warehouse,Franklin,100.0,1987.0,2017.0,236331.0,0.36,"28'0""",40'w x 40'd,22.0,1200a/277-480v 3p 3w,,City,2025 Tax @ $1.1207/sf,,,0,1,ESFR,City,86.0,42.0841597,-71.4340307,MA,MA.csv,69,T4-MA-00069,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"12 Forge Pky, Franklin, MA",False,25021,Norfolk,MA,26,17207.645056127454,MA
580 Fort Pond Rd,,B,Existing,486820,486820.0,$8.99 - 10.98 (Est.),Distribution,Lancaster,100.0,1994.0,,486820.0,0.41,"34'0""",40'w x 37'd,26.0,3000a/480v 3p,,Yes,,,486820.0,0,"1/12'0""w x 14'0""h",ESFR,Well,200.0,42.5194885,-71.6744272,MA,MA.csv,70,T4-MA-00070,existing,True,False,direct_existing_facility,486820.0,True,True,True,True,"580 Fort Pond Rd, Lancaster, MA",True,25027,Worcester,MA,16,20016.15286549168,MA
241 Francis Ave,Bldg 1,A,Existing,352340,216565.0,$8.59 - 10.50 (Est.),Warehouse,Mansfield,100.0,1974.0,,352340.0,0.6,"32'0""",40'w x 70'd,21.0,3000a 3p,CSX,City,,,216565.0,0,"3/18'0""w x 18'0""h",ESFR,City,210.0,42.0393562,-71.2053339,MA,MA.csv,71,T4-MA-00071,existing,True,False,direct_existing_facility,216565.0,True,True,True,True,Bldg 1,True,25005,Bristol,MA,33,14111.7303778516,MA
15 Freedom Way,Northeast Logistics Center,A,Existing,260000,,$11.23 - 13.73 (Est.),Warehouse,Franklin,100.0,1993.0,,260000.0,0.67,"30'0""",48'w x 48'd,25.0,2000a/277-480v 3p 4w,,City,2025 Tax @ $0.7371/sf,,,0,"1/12'0""w x 14'0""h",ESFR,City,174.0,42.0517492,-71.3985475,MA,MA.csv,72,T4-MA-00072,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Northeast Logistics Center,False,25021,Norfolk,MA,26,17207.645056127454,MA
20 Freedom Way,Franklin Commerce Center,A,Existing,234664,,$11.65 - 14.24 (Est.),Distribution,Franklin,100.0,2003.0,,232152.0,0.26,"36'0""",42'w x 42'd,32.0,2000a,,City,2025 Tax @ $1.3314/sf,,,0,2,ESFR,City,60.0,42.0518931,-71.3950782,MA,MA.csv,73,T4-MA-00073,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Franklin Commerce Center,False,25021,Norfolk,MA,26,17207.645056127454,MA
135 Goddard Memorial Dr,T.J. Maxx,B,Existing,454893,,$8.20 - 10.02 (Est.),Distribution,Worcester,100.0,1983.0,,494000.0,,,,40.0,,,,2025 Tax @ $1.8159/sf,,,0,,,,100.0,42.255083,-71.8681907,MA,MA.csv,74,T4-MA-00074,existing,True,False,direct_existing_facility,0.0,False,False,True,True,T.J. Maxx,False,25027,Worcester,MA,16,20016.15286549168,MA
75 Green St,Dunn & Co.,C,Existing,250000,200000.0,$5.79 - 7.08 (Est.),Distribution,Clinton,20.0,1910.0,,50000.0,0.16,"16'0""",,6.0,,,,2025 Tax @ $0.1834/sf,,200000.0,200000,1,Wet,,40.0,42.4129124,-71.6790886,MA,MA.csv,75,T4-MA-00075,existing,True,False,direct_existing_facility,200000.0,True,True,True,True,Dunn & Co.,True,25027,Worcester,MA,16,20016.15286549168,MA
126 Grove St,"The Boston, Inc.",B,Existing,262596,,$11.85 - 14.48 (Est.),Warehouse,Franklin,100.0,1975.0,,262596.0,0.38,,,,,,,,,,0,,,,100.0,42.0752156,-71.4212962,MA,MA.csv,76,T4-MA-00076,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"The Boston, Inc.",False,25021,Norfolk,MA,26,17207.645056127454,MA
50 Hampden Rd,,B,Existing,203998,133872.0,$9.63 - 11.77 (Est.),Warehouse,Mansfield,84.73,1978.0,,203998.0,0.98,"28'0""",31'w x 40'd,25.0,1200a/277-400v 3p,,City,2025 Tax @ $1.2573/sf,,133872.0,31149,5,ESFR,City,200.0,42.020402,-71.237742,MA,MA.csv,77,T4-MA-00077,existing,True,False,direct_existing_facility,133872.0,True,True,True,True,"50 Hampden Rd, Mansfield, MA",True,25005,Bristol,MA,33,14111.7303778516,MA
