Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
95 Pleasant Valley Pky,,C,Existing,128780,,$8.57 - 10.48 (Est.),Distribution,Providence,100.00,1950,,128780,0.31,,,11,,,,2024 Tax @ $0.6417/sf,,,0,"5/16'0""w x 12'0""h",,,40,41.8310080,-71.4270760
1400 Pontiac Ave,Pepsi-Cola Bottling,B,Existing,125578,,$10.04 - 12.27 (Est.),Distribution,Cranston,100.00,1978,,125578,0.84,,,22,,,,,,,0,"13/10'0""w x 10'0""h",,,105,41.7440290,-71.4538480
1 Powder Hill Rd,,A,Existing,104700,,$7.04 - 8.60 (Est.),Warehouse,Lincoln,100.00,1964,2001,104700,,"23'0""",30'w x 30'd,7,2000a/277-480v,,City,2025 Tax @ $1.1103/sf,,,0,None,Wet,City,,41.9176290,-71.4804610
226 Public St,,C,Existing,119350,,$8.57 - 10.48 (Est.),Warehouse,Providence,100.00,,,119350,,,,,,,,2025 Tax @ $0.1502/sf,,,0,,,,,41.8068890,-71.4085336
280 Rand St,Bldg 6,C,Existing,180000,,$9.33 - 11.40 (Est.),Warehouse,Central Falls,100.00,1919,,45000,,,,8,,,,,,,0,None,Wet,,56,41.8817410,-71.3986650
784 River St,,C,Existing,135392,,$8.55 - 10.45 (Est.),Warehouse,Woonsocket,100.00,1896,,45130,,,,3,,,,2025 Tax @ $0.0860/sf,,,0,"1/10'0""h",,,50,42.0058407,-71.5266277
1182 River St,,C,Existing,148667,,$8.20 - 10.02 (Est.),Warehouse,Woonsocket,100.00,1937,,49555,,,,,,,,2025 Tax @ $0.0436/sf,,,0,"5/12'0""h",,,30,42.0087661,-71.5298627
413 Roosevelt Ave,,C,Existing,107230,,$8.29 - 10.14 (Est.),Warehouse,Central Falls,100.00,1900,,54391,0.06,"15'0""",,3,,,,2025 Tax @ $0.2439/sf,,,0,1,,,7,41.8843755,-71.3818544
308 E School St,,B,Existing,110000,,$5.71 - 6.98 (Est.),Distribution,Woonsocket,100.00,1910,,55000,0.91,"14'0""",,1,Heavy,,City,2025 Tax @ $0.1385/sf,,,0,4,Dry,City,100,42.0115082,-71.5078922
40 Slater Rd,,B,Existing,107647,,$9.94 - 12.15 (Est.),Distribution,Cranston,100.00,1989,,59166,1.61,,,21,,,,2025 Tax @ $1.2594/sf,,,0,"5/15'0""w x 18'0""h",,,190,41.7479330,-71.4488190
10 Thurber Blvd,,B,Existing,176847,,$7.25 - 8.86 (Est.),Warehouse,Smithfield,100.00,1985,,88424,,,,,,,City,2025 Tax @ $0.9347/sf,,,0,,Wet,City,,41.9108526,-71.5181618
89 Tom Harvey Rd,,C,Existing,130950,,$9.07 - 11.08 (Est.),Warehouse,Westerly,100.00,1981,2004,130950,1.36,"26'0""",,15,800a,,City,2025 Tax @ $0.2059/sf,,,0,1,Wet,City,178,41.3441461,-71.8093668
1 Vision Blvd,,C,Existing,116000,,$8.52 - 10.41 (Est.),Warehouse,East Providence,100.00,1980,,116000,2.33,"16'0""",,8,,,,2025 Tax @ $1.2806/sf,,,0,"1/10'0""w x 10'0""h",Wet,,270,41.8033022,-71.3422769
100 Warwick Industrial Dr,,C,Existing,167551,,$9.71 - 11.86 (Est.),Warehouse,Warwick,100.00,1985,,167551,0.84,,,1,,,,2025 Tax @ $1.0972/sf,,,0,"1/8'0""w x 9'0""h",,,118,41.7196000,-71.4255310
84 White Rock Rd,,B,Existing,143070,,$8.13 - 9.94 (Est.),Warehouse,Westerly,100.00,1849,,47690,0.23,,,1,,,,2024 Tax @ $0.0688/sf,,,0,"3/10'0""w x 12'0""h",,,33,41.4002875,-71.8403162
2 Crow Point Rd,,C,Existing,116252,,$7.21 - 8.81 (Est.),Warehouse,Lincoln,100.00,,,116252,,,,,,,Yes,2025 Tax @ $0.4241/sf,,,0,,,Yes,,41.8843066,-71.4065236
