Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1657 S Highland Ave,Bldg A,C,Existing,306650,,$7.82 - 9.56 (Est.),Warehouse,Baltimore,100.00,1915,,306650,,"30'0""",50'w x 50'd,10,,CSX,,2024 Tax @ $0.3802/sf,,,0,1,Dry,,,39.2721547,-76.5655615
5003 Holabird Ave,Chesapeake Commerce 5003,A,Existing,344470,183055,$8.97 - 10.96 (Est.),Distribution,Baltimore,46.86,2008,,344470,0.59,"32'0""",40'w x 50'd,34,400a/277-480v,CSX,,2024 Tax @ $1.8558/sf,,183055,183055,"3/12'0""w x 14'0""h",ESFR,,206,39.2710085,-76.5509021
5250-5330 Holabird Ave,,B,Existing,498923,244304,$5.22 - 6.38 (Est.),Warehouse,Baltimore,51.03,1965,2016,249462,,"22'0""",24'w x 30'd,28,3000a/277-480v 3p,,,2024 Tax @ $0.9347/sf,,244304,244304,1,Wet,City,,39.2752474,-76.5500682
5501 Holabird Ave,Amazon-Chesapeake Commerce 5501,A,Existing,346408,,$7.82 - 9.56 (Est.),Distribution,Baltimore,100.00,2014,,346408,0.50,"32'0""",40'w x 50'd,34,1000a/277-488v 3p 4w,CSX,,2024 Tax @ $0.6148/sf,,,0,"4/12'0""w x 14'0""h",ESFR,,230,39.2702081,-76.5479075
7100 Holladay Tyler Rd,,B,Existing,315825,,$9.84 - 12.02 (Est.),Warehouse,Glenn Dale,100.00,1968,1997,157912,1.90,"27'0""",35'w x 40'd,20,Heavy,CSX,City,2024 Tax @ $0.5997/sf,,,0,"8/20'0""w x 12'0""h",Wet,City,500,38.9877232,-76.8113655
4801 Hollins Ferry Rd,,B,Existing,283178,101945,$9.78 - 11.96 (Est.),Warehouse,Halethorpe,64.00,2008,,278977,0.90,"24'11""",25'w x 40'd,57,800a/277-480v,,City,2024 Tax @ $0.4531/sf,,101945,101945,"1/10'0""w x 12'0""h",ESFR,City,250,39.2264796,-76.6859199
4803 Hollins Ferry Rd,Hollins Ferry Logistics Center,A,Existing,285590,,$9.10 - 11.12 (Est.),Warehouse,Halethorpe,100.00,2016,,285590,0.73,"32'0""",60'w x 45'd,106,3000a,,,2024 Tax @ $0.7486/sf,,,0,"2/12'0""w x 20'0""h",,,420,39.2260783,-76.6880022
160 Iko Way,IKO Hagerstown,C,Existing,336000,,$5.56 - 6.80 (Est.),Distribution,Hagerstown,100.00,1987,,336000,0.56,"32'0""",50'w x 50'd,28,,,,2024 Tax @ $0.2131/sf,,,0,2,,,189,39.6390470,-77.7583712
16050 Industrial Dr,Gaither Distribution Center,C,Existing,282380,,$12.44 - 15.20 (Est.),Warehouse,Gaithersburg,100.00,1990,,282380,3.00,"30'0""",36'w x 54'd,20,,,City,2024 Tax @ $1.6448/sf,,,0,2,Yes,City,212,39.1211940,-77.1921270
5236 Intercoastal Dr,Costco,A,Existing,353533,,$11.34 - 13.85 (Est.),Distribution,Monrovia,100.00,2010,,353533,0.75,,,181,,,,,,,0,1,,,265,39.3750138,-77.2807695
6051 Jefferson Station Ct,Lincoln West,A,Existing,216028,,$11.71 - 14.31 (Est.),Warehouse,Frederick,100.00,2022,,216028,1.35,"32'0""",52'w x 57'd,6,,,,2024 Tax @ $1.4862/sf,,,0,2,ESFR,,292,39.3996174,-77.4455021
201 Kane St,,A,Existing,232933,,$7.82 - 9.56 (Est.),Warehouse,Baltimore,100.00,1950,2017,232933,0.85,"30'0""",,18,277a/480v,Canton Railroad,,,,,0,"2/12'0""w x 14'0""h",Wet,City,200,39.2907712,-76.5352112
8410 Kelso Dr,Building 4,B,Existing,288830,,$10.02 - 12.25 (Est.),Warehouse,Essex,100.00,2000,2020,288830,0.95,"30'0""",50'w x 40'd,61,2500a/277v 3p 4w,,City,,,,0,"2/12'0""w x 14'0""h",ESFR,City,275,39.3267696,-76.4885514
8411 Kelso Dr,Building 3,B,Existing,272500,274821,$8.35 - 10.20 (Est.),Distribution,Essex,0.00,1998,2019,272500,0.76,"30'0""",50'w x 40'd,61,2500a/277v 3p 4w,,City,2024 Tax @ $1.1491/sf,,274821,272500,"10/12'0""w x 15'0""h",ESFR,City,208,39.3247524,-76.4876177
8415 Kelso Dr,Building 1,B,Existing,263000,186903,$10.34 - 12.64 (Est.),Warehouse,Rosedale,28.93,1997,,263000,0.45,"30'0""",50'w x 40'd,33,,,,2024 Tax @ $0.7054/sf,,186903,186903,5,ESFR,,120,39.3265200,-76.4850480
1002 Konica Dr,,A,Existing,267000,,$10.84 - 13.25 (Est.),Distribution,Elkton,100.00,2021,,267000,,,,,,,,2025 Tax @ $0.4032/sf,,,0,,,,,39.5994235,-75.7907870
13451 Konterra Dr,,B,Existing,226280,,$12.21 - 14.92 (Est.),Warehouse,Laurel,100.00,2017,,113140,0.57,,,25,,,,2024 Tax @ $1.0322/sf,,,0,"2/6'0""w x 9'0""h",,,128,39.0730261,-76.8831320
2211 Lakeside Blvd,,A,Existing,244575,,$10.57 - 12.92 (Est.),Distribution,Edgewood,100.00,2020,,244575,0.93,"36'0""",54'w x 50'd,49,,,,,,,0,2,ESFR,,229,39.4470418,-76.3132470
