Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
275 Schoolhouse Rd,,C,Existing,241500,,$8.83 - 10.79 (Est.),Distribution,Cheshire,100.00,1963,,241500,1.66,,,97,,,,2025 Tax @ $1.0758/sf,,,0,None,,,400,41.5457441,-72.8995374
300 Shaker Rd,,A,Existing,469049,,$9.82 - 12.01 (Est.),Distribution,Enfield,100.00,1992,,450000,0.08,"48'0""",,,2500a/277-480v 3p,,,2025 Tax @ $1.3161/sf,,,0,"2/28'0""w x 14'0""h",Wet,,40,42.0121260,-72.5153415
135 Sullivan Ave,,B,Existing,292000,,$6.64 - 8.12 (Est.),Warehouse,South Windsor,100.00,2016,,292000,,,,29,,,,2024 Tax @ $1.7252/sf,,,0,"1/12'0""w x 14'0""h",,,,41.8557727,-72.5985959
456 Sullivan Ave,FedEx Ground,A,Existing,304249,,$6.64 - 8.12 (Est.),Distribution,South Windsor,100.00,2012,,304249,0.72,"31'6""",,180,,,,2024 Tax @ $2.5398/sf,,,0,"4/12'0""w x 14'0""h",Yes,,220,41.8554691,-72.5825886
155 Tracy Rd,,C,Existing,307858,,$5.70 - 6.97 (Est.),Distribution,Dayville,100.00,1997,,307858,,"36'0""",,46,,,,2025 Tax @ $0.7893/sf,,,0,,,,,41.8792939,-71.8901520
220 Tradeport Dr,,A,Existing,242000,,$8.70 - 10.64 (Est.),Distribution,Windsor,100.00,2018,,242000,,,,,,,Yes,2024 Tax @ $1.3774/sf,,,0,,Yes,Yes,,41.9123294,-72.7163012
810 Union Ave,Hariton Machinery Co. Inc.,C,Existing,251200,,$8.07 - 9.87 (Est.),Warehouse,Bridgeport,100.00,,,125600,,"30'0""",,,,,,2025 Tax @ $0.1822/sf,,,0,4,,,,41.1832869,-73.1644250
401 Watertown Rd,,C,Existing,267024,,$7.97 - 9.74 (Est.),Warehouse,Thomaston,100.00,1950,,267024,1.12,,,,,,,2025 Tax @ $0.2479/sf,,,0,None,,,300,41.6545385,-73.0917364
29 West St,,C,Existing,323317,,$7.56 - 9.23 (Est.),Warehouse,Stafford Springs,100.00,1972,,323317,,,,,,,,2025 Tax @ $0.2270/sf,,,0,,,,,41.9584412,-72.3167891
808 Windsor St,,C,Existing,200000,,$4.67 - 5.71 (Est.),Warehouse,Hartford,100.00,1920,,100000,0.34,"18'0""",,,,,,2024 Tax @ $0.3671/sf,,,0,"3/14'0""w x 14'0""h",,City,30,41.7892300,-72.6684700
40 Wisconsin Ave,,A,Existing,248200,,$5.84 - 7.14 (Est.),Distribution,Norwich,100.00,1980,,114600,1.53,"28'0""",50'w x 60'd,16,4000a/480v 3p,,City,2025 Tax @ $0.8302/sf,,,0,1,Wet,City,151,41.5790500,-72.1147460
129 Worthington Ridge Rd,Fosdick Corporation Distribution Center,B,Existing,236666,,$8.10 - 9.90 (Est.),Distribution,Berlin,100.00,1981,1992,236666,1.60,"24'0""",37'w x 50'd,12,1200a/480v 3p,,,2025 Tax @ $0.9726/sf,,,0,"1/10'0""w x 14'0""h",Wet,,350,41.6383158,-72.7295854
360 Ellington Rd,Home Depot Distribution Center,B,Existing,421152,,$6.64 - 8.12 (Est.),Distribution,South Windsor,100.00,2020,,421152,0.05,,,11,,,,2024 Tax @ $1.7656/sf,,,0,7,,,21,41.8082206,-72.6088314
75 Mill St,,B,Existing,209663,,$9.53 - 11.65 (Est.),Distribution,Colchester,100.00,1970,,202036,,,,,,,,2025 Tax @ $0.5757/sf,,,0,,,,,41.5776659,-72.3259602
