Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
550 Meadowlands Pky,,B,Existing,304920,89970,$13.80 - 16.87 (Est.),Warehouse,Secaucus,70.49,1986,,152460,0.09,"26'0""",41'w x 44'd,13,200a,,City,2024 Tax @ $0.8998/sf,,89970,89970,None,Wet,City,28,40.7755501,-74.0848097
77-79 Metro Way,,C,Existing,422819,94761,$13.31 - 16.26 (Est.),Warehouse,Secaucus,77.59,1978,,422819,0.30,"27'0""",38'w x 47'd,35,1200-4000a/277-480v,,City,2024 Tax @ $1.6999/sf,,94761,94761,"2/10'0""w x 9'0""h",Wet,City,155,40.7706707,-74.0721361
1 Nassau Pl,One Nassau Place,A,Existing,331700,331700,$16.07 - 19.64 (Est.),Warehouse,Staten Island,0.00,2026,,331700,0.53,"36'0""",56'w x 50'd,60,,,,,,331700,331700,2,ESFR,,175,40.5187910,-74.2356521
1200 Oak Point Ave,Harlem Commonwealth Industrial Park,C,Existing,262500,10000,$15.42 - 18.84 (Est.),Warehouse,Bronx,96.19,1942,,134983,0.57,"40'0""",,6,400a,,,2024 Tax @ $0.6000/sf,,10000,10000,2,Dry,,150,40.8066322,-73.8946129
150 Pacific Ave,,B,Existing,350295,153995,$8.85 - 10.82 (Est.),Warehouse,Jersey City,56.04,1930,,350295,0.10,"28'0""",50'w x 35'd,13,2000a,,City,,,153995,153995,5,Dry,City,35,40.7078645,-74.0660827
1-5 Plant Rd,,C,Existing,221053,85204,$13.83 - 16.90 (Est.),Warehouse,Hasbrouck Heights,61.46,1961,,202000,0.12,"22'0""",30'w x 30'd,8,Heavy,,,2024 Tax @ $0.9342/sf,,85204,85204,"5/17'0""w x 14'0""h",Wet,,25,40.8518850,-74.0718299
101 Port Lincoln Rd,Building 100,A,Existing,332640,332640,$13.66 - 16.69 (Est.),Distribution,Bayonne,0.00,2023,,332640,1.21,"36'0""",54'w x 55'd,66,3000a/277-480v 3p,,,,,332640,332640,2,,,403,40.6724455,-74.0941854
169 Pulaski St,,B,Existing,433204,100000,$13.64 - 16.67 (Est.),Warehouse,Bayonne,100.00,1980,,433204,0.21,"26'0""",,28,1000a,,,2024 Tax @ $1.7821/sf,,100000,0,,Yes,,91,40.6788880,-74.0998082
4 Warehouse Ln,,B,Existing,200719,178847,$15.36 - 18.78 (Est.),Warehouse,Elmsford,68.94,1957,,200719,1.00,"18'0""",40'w x 25'd,36,277v,,,2025 Tax @ $0.0039/sf,,146347,62350,None,Wet,,200,41.0650403,-73.8207591
28-10 Whitestone Expy,Whitestone Logistics Center,A,Existing,313496,245337,$15.86 - 19.39 (Est.),Warehouse,Flushing,21.74,2024,,81779,0.00,"36'0""",58'w x 52'd,13,3000a/120-208v,,,2024 Tax @ $1.4422/sf,,245337,313496,3,ESFR,,,40.7728777,-73.8323864
90 Dayton Ave,Building 11,C,Existing,200000,3129,$15.00,Warehouse,Passaic,100.00,1889,,40000,,"16'0""",,4,,,,2024 Tax @ $0.0185/sf,,3129,0,1,,,,40.8733182,-74.1184805
90 Dayton Ave,Building 9,B,Existing,200000,11550,$8.50,Warehouse,Passaic,94.23,1889,,40000,0.11,"15'0""",,6,200a 3p,,,,,11550,11550,"1/10'0""w x 13'0""h",Wet,,15,40.8739893,-74.1177819
400 Walnut Ave,,B,Existing,240000,60000,$20.00,Warehouse,Bronx,75.00,1956,,240000,0.00,"18'0""",,24,,,,2024 Tax @ $1.9710/sf,,60000,60000,None,,,,40.8052466,-73.9048247
4600 1st Ave,,C,Existing,262500,,$16.73 - 20.45 (Est.),Warehouse,Brooklyn,100.00,1904,,262500,,"24'0""",,,,,,,,,0,1,,,,40.6534379,-74.0178724
1000 1st St,,C,Existing,240000,,$11.62 - 14.20 (Est.),Warehouse,Harrison,100.00,1907,,188000,0.31,"28'0""",,,4000a,,,2024 Tax @ $1.0753/sf,,,0,2,Wet,,,40.7379707,-74.1610399
5801-5809 2nd Ave,,C,Existing,360400,2000,$16.47 - 20.13 (Est.),Warehouse,Brooklyn,99.45,1901,,120133,0.01,"16'0""",,4,,,,2024 Tax @ $1.1555/sf,,2000,2000,None,,,4,40.6437130,-74.0208089
5802 3rd Ave,,C,Existing,360400,18000,$16.43 - 20.08 (Est.),Warehouse,Brooklyn,100.00,1931,,139938,,"20'0""",22'w x 15'd,2,Heavy,,Yes,2024 Tax @ $1.1555/sf,,18000,0,Yes,,Yes,,40.6430956,-74.0200685
250 E 22nd St,Imtt Bayonne,B,Existing,220000,,$9.36 - 11.44 (Est.),Warehouse,Bayonne,100.00,1952,,220000,,,,16,,,City,2024 Tax @ $2.3753/sf,,,0,None,,City,,40.6583186,-74.1021159
215 26th Ave,,B,Existing,200000,,$15.71 - 19.20 (Est.),Warehouse,Astoria,100.00,1960,2022,25000,0.00,"20'2""",,7,4000a 3p,,City,2024 Tax @ $0.8730/sf,,,0,2,Wet,City,,40.7770502,-73.9337308
4750 33rd St,,C,Existing,206000,,$15.63 - 19.10 (Est.),Warehouse,Long Island City,100.00,1964,2011,51500,,"18'0""",,,,,,2024 Tax @ $1.4594/sf,,,0,,,,,40.7416690,-73.9327480
833 40th Ave,,C,Existing,307140,,$15.71 - 19.21 (Est.),Distribution,Long Island City,100.00,1920,,31250,,,,5,Heavy,,,2024 Tax @ $4.2806/sf,,,0,"7/20'0""w x 15'0""h",,,,40.7578931,-73.9450377
19-50 48th St,,C,Existing,200000,,$15.83 - 19.35 (Est.),Warehouse,Astoria,100.00,1965,,100000,4.00,,,,,,,,,,0,None,,,,40.7739980,-73.8959900
56-16 48th St,,C,Existing,475000,,$15.43 - 18.86 (Est.),Distribution,Maspeth,100.00,1966,,475000,,,,86,,,,2024 Tax @ $3.7362/sf,,,0,,,,,40.7278325,-73.9218056
397 E 54th St,,B,Existing,224050,,$13.47 - 16.46 (Est.),Warehouse,Elmwood Park,100.00,1979,,224050,0.79,"26'0""",20'w x 48'd,43,200a/480v,,City,2024 Tax @ $1.2022/sf,,,0,"2/10'0""w x 13'0""h",Yes,City,201,40.9080126,-74.1098503
50-02 55th Ave,,B,Existing,457750,,$14.26 - 17.43 (Est.),Warehouse,Maspeth,100.00,1956,,457750,,"26'0""",,35,,,,2024 Tax @ $0.0279/sf,,,0,"16/9'0""w x 10'0""h",Yes,,,40.7274468,-73.9167899
46-06 57th Ave,,B,Existing,362474,,$15.15 - 18.52 (Est.),Distribution,Maspeth,100.00,2016,,181237,0.57,,,24,,,,2024 Tax @ $7.4819/sf,,,0,,Yes,,208,40.7254405,-73.9241296
