Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
515 N Zarfoss Dr,York Distribution Center,A,Existing,312769,312769,$5.82 - 7.11 (Est.),Warehouse,York,0.00,1985,,312769,0.34,"26'0""",50'w x 50'd,27,1200a/480v 3p,,City,2025 Tax @ $0.8302/sf,,312769,312769,"2/12'0""w x 14'0""h",Wet,City,135,39.9461598,-76.7915699
306 & 420 Halstead Boulevard,,C,Existing,354000,,$6.81 - 8.32 (Est.),Warehouse,Zelienople,100.00,1968,1970,354000,,"30'0""",,9,480a 3p 4w,,,2025 Tax @ $0.1813/sf,,,0,22,,,,40.7971483,-80.1475040
1500-1510 Bartlett Dr,,B,Existing,496062,,$6.36 - 7.78 (Est.),Warehouse,Manchester,100.00,2012,,496062,,,,,,,,2025 Tax @ $1.1165/sf,,,0,,,,,40.0490737,-76.7346319
201 Hancock Blvd,,C,Existing,323381,,$6.31 - 7.71 (Est.),Warehouse,Reading,100.00,1971,,323381,,,,,,,,2025 Tax @ $0.2736/sf,,,0,,,,,40.3196977,-75.9415575
5100 Jaindl Blvd,,A,Existing,307425,,$7.57 - 9.26 (Est.),Warehouse,Bethlehem,100.00,2006,,307425,,,,,,,,2026 Tax @ $0.2103/sf,,,0,,,,202,40.6877172,-75.3780844
1046 Keystone Blvd,Jeld-Wen,C,Existing,303199,,$5.93 - 7.24 (Est.),Warehouse,Pottsville,100.00,2009,,303199,,,,,,,,,,,0,,,,,40.7233054,-76.3084017
360 Keystone Dr,,B,Under Construction,325000,,$5.17 - 6.31 (Est.),Distribution,New Castle,100.00,2026,,325000,,,,,,,,,,,0,,,,,41.0381453,-80.3950207
949 Main St,,B,Existing,413270,,$5.29 - 6.47 (Est.),Distribution,Alexandria,100.00,1964,,413270,,,,,,,,2025 Tax @ $0.3378/sf,,,0,,,,,40.5633110,-78.1100435
Meadowland Ave,Colonial Ironworks Bldg,C,Existing,350000,,$7.92 - 9.68 (Est.),Warehouse,Ellwood City,100.00,1950,,350000,,"30'0""",,,440a/240v,,,2024 Tax @ $0.0052/sf,,,0,4,None,,,40.8587357,-80.2482118
5501 Route 89,,C,Existing,322250,,$4.90 - 5.98 (Est.),Warehouse,North East,100.00,2008,,322250,,,,,,,,2025 Tax @ $0.4643/sf,,,0,,,,,42.1916159,-79.8329727
