Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
5550 Winchester Ave,Berkeley Business Park,B,Existing,389244,,$5.84 - 7.14 (Est.),Warehouse,Martinsburg,100.00,1959,2005,389244,1.03,"24'0""",24'w x 40'd,26,440a 3p,,Yes,,,,0,3,Wet,Yes,400,39.3865973,-78.0165725
5694 Winchester Ave,,A,Existing,404657,,$7.47 - 9.13 (Est.),Warehouse,Martinsburg,100.00,2020,,404040,0.51,"32'0""",52'w x 50'd,41,3p,,,2025 Tax @ $1.0159/sf,,,0,"2/10'0""w x 16'0""h",ESFR,,208,39.3844113,-78.0212144
0A Wv-68,,C,Existing,118201,,$5.23 - 6.40 (Est.),Warehouse,Ravenswood,100.00,,,118201,,,,,,,,2025 Tax @ $0.4313/sf,,,0,None,,,50,38.9413000,-81.7562440
608 Caperton Blvd,,B,Existing,404960,,$7.47 - 9.13 (Est.),Distribution,Martinsburg,100.00,2001,,404960,0.63,,,32,,,,2025 Tax @ $0.7225/sf,,,0,5,,,255,39.5091978,-77.9555263
390 Industrial Park Rd,,C,Existing,334484,,$4.21 - 5.14 (Est.),Warehouse,Moorefield,100.00,,,334484,,,,,,,,,,,0,,,,527,39.0744630,-78.9429080
1900 Jack Burlingame Rd,,B,Existing,180000,,$5.23 - 6.40 (Est.),Distribution,Millwood,100.00,2016,,180000,0.40,,,,,,,2025 Tax @ $0.5900/sf,,,0,,,,73,38.9018504,-81.8341536
McMechen St,,C,Existing,185000,,$5.68 (Est.),Warehouse,Benwood,100.00,1970,,185000,,,,2,,,,2025 Tax @ $0.0614/sf,,,0,8,,,,40.0224645,-80.7314962
8 McMechen St,Excalibur Building,C,Existing,185086,,$5.29 - 6.46 (Est.),Warehouse,Benwood,100.00,1930,,,,"50'0""",,,,,,2025 Tax @ $0.0614/sf,,,0,4,,,,40.0216343,-80.7331000
748 McMechen St,,C,Existing,183747,,$5.80 (Est.),Warehouse,Benwood,100.00,2012,,183747,,,,,,,,2025 Tax @ $0.3932/sf,,,0,,,,,40.0091071,-80.7362866
7850 Ohio River Rd,,B,Existing,112000,,$6.26 - 7.65 (Est.),Warehouse,Lesage,100.00,,,112000,,,,,,,,2025 Tax @ $0.3148/sf,,,0,,,,,38.5573934,-82.2843977
230 Polymer Way,,C,Existing,291269,,$7.71 - 9.42 (Est.),Warehouse,Davisville,100.00,1974,,291269,,,,,,,,,,,0,,,,,39.1990406,-81.4893917
6000 Rail St,,B,Existing,330000,,$7.46 - 9.12 (Est.),Distribution,Morgantown,100.00,2024,,330000,,,,,,,,,,,0,3,,,,39.5981191,-79.9824373
141 Summers St,,B,Existing,191068,,$7.38 - 9.02 (Est.),Warehouse,Charleston,100.00,,,191068,,,,,,,,2024 Tax @ $0.0055/sf,,,0,,,,,38.3511150,-81.6354979
541 Technology Dr,,B,Existing,168400,,$5.05 - 6.18 (Est.),Warehouse,Triadelphia,100.00,1994,,168400,,,,,,,,2025 Tax @ $0.2997/sf,,,0,,,,,40.0716415,-80.5605516
801 Turnpike Industrial Rd,,B,Existing,180000,,$7.99 - 9.77 (Est.),Warehouse,Princeton,100.00,,,180000,,,,,,,,2025 Tax @ $0.3440/sf,,,0,,,,,37.3719427,-81.0430212
598 Waxler Rd,,C,Existing,279000,,$9.22 - 11.27 (Est.),Warehouse,Keyser,100.00,,,,,,,,,,,,,,0,,,,,39.4475560,-78.9538740
