Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
50 Bryla St,PortSouth Bryla,A,Existing,459500,,$12.03 - 14.71 (Est.),Warehouse,Carteret,100.00,2015,,459500,0.49,"36'0""",52'w x 60'd,48,4000a/480v 3p,,,,,,0,"4/12'0""w x 14'0""h",Wet,,224,40.5874169,-74.2447051
1515 Burnt Mill Rd,,B,Existing,310596,,$10.65 - 13.02 (Est.),Distribution,Cherry Hill,100.00,1961,1998,310596,0.64,"30'0""",,44,,,,2025 Tax @ $1.5829/sf,,,0,None,,,200,39.8757642,-75.0081872
20-56 Butler St,,B,Existing,400000,,$12.55 - 15.34 (Est.),Warehouse,Elizabeth,100.00,1970,,200000,0.10,"13'0""",,1,800a,,City,2024 Tax @ $3.8859/sf,,,0,"1/10'0""w x 12'0""h",Wet,City,40,40.6469990,-74.1924796
76 Callahan Blvd,Building 3,A,Existing,451916,,$12.16 - 14.86 (Est.),Distribution,Sayreville,100.00,2023,,451916,0.94,"40'0""",56'w x 50'd,67,4000a/277-480v 3p,,,2024 Tax @ $1.3580/sf,,,451916,"2/12'0""w x 16'0""h",ESFR,,425,40.4550063,-74.3365218
99 Callahan Blvd,Building 2,A,Existing,342371,,$12.41 - 15.17 (Est.),Distribution,Sayreville,100.00,2024,,342371,1.12,"40'0""",56'w,50,4000a/277-480v 3p,,,2024 Tax @ $1.2519/sf,,,0,"2/12'0""w x 16'0""h",,,382,40.4524449,-74.3369215
205 Campus Dr,,C,Existing,303190,80000,$13.70 - 16.74 (Est.),Warehouse,Kearny,100.00,1940,,303190,0.24,"40'0""",,18,2000a,,,,,80000,0,4,,,75,40.7240074,-74.1064269
250 Carter Dr,,A,Existing,408860,,$12.49 - 15.26 (Est.),Warehouse,Edison,100.00,1990,,408860,0.26,"26'0""",42'w x 42'd,27,3000a,,,2024 Tax @ $1.5434/sf,,,0,"1/14'0""w x 16'0""h",Wet,,192,40.5260760,-74.4020110
125 Castle Rd,,C,Existing,311265,,$13.34 - 16.30 (Est.),Warehouse,Secaucus,100.00,1960,,311265,0.90,"22'0""",45'w x 40'd,36,400a/460v,,City,2024 Tax @ $1.4917/sf,,,0,Yes,Wet,City,280,40.7694290,-74.0794680
99A Caven Point Rd,,B,Existing,348000,,$13.68 - 16.72 (Est.),Warehouse,Jersey City,100.00,1994,2001,348000,0.30,"24'0""",42'w x 40'd,45,1200a/277-480v,,City,2024 Tax @ $2.0756/sf,,,0,"1/10'0""w x 12'0""h",Wet,City,150,40.7005786,-74.0720749
2320 Center Square Rd,,A,Existing,369000,,$8.56 - 10.47 (Est.),Warehouse,Logan Township,100.00,2019,,369000,1.23,"36'0""",54'w x 50'd,62,3000a 3p 4w,,Yes,2024 Tax @ $1.3834/sf,,,0,"2/14'0""w x 16'0""h",ESFR,Yes,455,39.7766871,-75.3838487
1 Century Way,,B,Existing,434000,,$13.28 - 16.23 (Est.),Warehouse,Secaucus,100.00,1959,,434000,0.21,"14'0""",,50,,,City,2024 Tax @ $1.4331/sf,,,0,Yes,,City,125,40.7807233,-74.0660439
24 Charles Ct,,A,Existing,362019,,$11.16 - 13.64 (Est.),Warehouse,South Brunswick,100.00,1980,1997,362019,0.54,"28'0""",36'w x 48'd,43,600-800a/460-480v 3p 4w,,City,2024 Tax @ $1.2480/sf,,,0,"2/12'0""w x 14'0""h",ESFR,City,194,40.3529573,-74.4922749
2900 Cindel Dr,Domtar,A,Existing,465000,,$8.15 - 9.96 (Est.),Distribution,Cinnaminson,100.00,1997,,465000,0.24,"39'5""",40'w x 60'd,22,480v 3p,,,2024 Tax @ $0.8978/sf,,,0,3,ESFR,,300,40.0264053,-74.9791954
350 Clark Dr,,A,Existing,441363,,$12.22 - 14.94 (Est.),Warehouse,Mount Olive,100.00,1990,,211531,0.54,"24'0""",33'w x 42'd,26,2400a 3p,,City,2024 Tax @ $1.5860/sf,,,0,"2/10'0""w x 13'0""h",Wet,Yes,200,40.8940404,-74.7301463
