Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
2400 Elliham Ave,Cockrell Distribution,C,Existing,270000,,$5.46 - 6.67 (Est.),Warehouse,Richmond,100.00,1965,,270000,0.19,"26'0""",,19,,,,2025 Tax @ $0.2290/sf,,,70000,"8/10'0""w x 12'0""h",Wet,,50,37.4300440,-77.4319409
2555 Ellsmere Ave,,A,Existing,205784,,$6.77 - 8.28 (Est.),Warehouse,Norfolk,100.00,1988,,205784,1.60,"34'0""",,31,3000a/277-480v 3p,,,2025 Tax @ $0.6634/sf,,,0,"2/14'0""w x 16'0""h",ESFR,,330,36.8779340,-76.2195050
2175 Elmhurst Ln,,B,Existing,201612,,$8.51 - 10.40 (Est.),Distribution,Portsmouth,100.00,2017,,201612,,"32'0""",,28,,,,2024 Tax @ $0.4730/sf,,,0,"2/14'0""w x 14'0""h",,,,36.8044576,-76.3786793
3100-3150 Elmhurst Ln,,C,Existing,200000,80000,$6.55 - 8.01 (Est.),Distribution,Portsmouth,60.00,1973,,200000,,"26'0""",40'w x 40'd,24,,,,2024 Tax @ $0.3162/sf,,80000,80000,"1/12'0""w x 14'0""h",,,,36.8047620,-76.3701780
13101 N Enon Church Rd,,B,Existing,430500,,$7.37 - 9.01 (Est.),Warehouse,Chester,100.00,1964,,430500,0.70,"28'0""",,14,3000a/220v 3p,,,2025 Tax @ $0.2537/sf,,,0,"4/12'0""w x 12'0""h",Wet,,300,37.3536970,-77.3116090
1201 Enterprise Dr,,A,Existing,350527,,$7.18 - 8.77 (Est.),Distribution,Suffolk,100.00,2021,,350527,0.33,,,52,,,,2025 Tax @ $1.1138/sf,,,0,,,,114,36.7144447,-76.6768629
2150 Enterprise Dr,Lot 7,A,Existing,278670,,$7.18 - 8.77 (Est.),Distribution,Suffolk,100.00,2022,,278670,,,,42,,,,2025 Tax @ $1.5650/sf,,,0,,,,,36.7185352,-76.6863147
2000 Enterprise Pky,Enterprise Center,A,Existing,421100,,$9.76 - 11.93 (Est.),Distribution,Hampton,100.00,1996,,201568,3.47,"36'0""",33'w x 40'd,24,4000a/277-480v 3p,,City,2025 Tax @ $0.9484/sf,,,0,"1/12'0""w x 14'0""h",Wet,City,1400,37.0574630,-76.4115968
11174 Enterprise Pky,Carmel Church Business Center,A,Existing,325500,,$6.73 - 8.23 (Est.),Distribution,Ruther Glen,100.00,2024,,325500,0.99,"36'0""",54'w x 48'd,50,3000a/227-480v 3p 4w,,,,,,0,"2/14'0""w x 16'0""h",ESFR,,323,37.9434669,-77.4502231
11266 Enterprise Pky,,A,Existing,359605,,$6.60 - 8.06 (Est.),Distribution,Ruther Glen,100.00,1999,,359605,,"38'0""",,42,Heavy,,,2025 Tax @ $42.3124/sf,,,0,"1/12'0""w x 14'0""h",,,,37.9397837,-77.4509310
4800 Eubank Rd,Building A,A,Existing,445381,,$8.23 - 10.06 (Est.),Distribution,Richmond,100.00,1998,,445381,0.56,"24'0""",40'w x 31'd,54,,,,2025 Tax @ $0.5445/sf,,,0,"6/16'0""w x 12'0""h",ESFR,,249,37.5130518,-77.3517609
1330 Executive Blvd,Dollar Tree,B,Existing,410618,,$9.28 - 11.35 (Est.),Distribution,Chesapeake,100.00,1997,,410618,0.29,,,59,,,,2024 Tax @ $0.7580/sf,,,0,"1/12'0""w x 14'0""h",,,120,36.7700560,-76.2408600
100 Ezra Ln,,A,Existing,325000,,$6.70 - 8.19 (Est.),Distribution,Winchester,100.00,2023,,325000,,,,56,,,,,,,0,,,,,39.2147751,-78.1352472
14808 Flint Lee Rd,UPS Dulles Distribution Center I,B,Existing,212191,,$12.44 - 15.20 (Est.),Distribution,Chantilly,100.00,1987,,212191,0.32,"35'0""",,60,,,,2024 Tax @ $2.9168/sf,,,0,"3/12'0""w",None,,70,38.8941020,-77.4594040
234 Forest Rd,,C,Existing,204000,,$3.51 - 4.30 (Est.),Warehouse,Emporia,100.00,1990,,204000,0.61,"30'0""",,2,Heavy,,County,2025 Tax @ $0.0188/sf,,,0,"5/15'0""w x 18'0""h",Wet,County,125,36.5493384,-77.5264179
40 Fort Lewis Blvd,USFS Industrial Distribution,B,Existing,348269,,$4.12 - 5.04 (Est.),Distribution,Salem,100.00,1978,2002,348269,0.17,,,40,,,,2025 Tax @ $0.2171/sf,,,0,None,,,60,37.2848999,-80.0946549
7452 Freight Way,ABC Warehouse,A,Existing,315000,,$7.69 - 9.40 (Est.),Warehouse,Mechanicsville,100.00,2021,,315000,,,,,,,,,,,0,,,,,37.6286645,-77.3595593
2121 Gardner St,,C,Existing,375302,,$6.57 - 8.03 (Est.),Distribution,Elliston,100.00,2000,2015,375302,,,,28,,,,2025 Tax @ $0.5493/sf,,,0,Yes,Wet,,,37.2300066,-80.2073394
1120 Gordon Ave,,C,Existing,270572,76643,$4.44 - 5.43 (Est.),Warehouse,Richmond,71.67,1937,,270572,0.22,"23'0""",,28,220-480v 3p,,,2025 Tax @ $0.2547/sf,,76643,76643,None,Yes,,60,37.5123560,-77.4347550
1625 Green Mount Pky,Haynes Distribution Center,A,Existing,328535,,$7.98 - 9.75 (Est.),Distribution,Williamsburg,100.00,2006,,328535,,,,,,,,2025 Tax @ $0.3405/sf,,,0,,,,,37.2054604,-76.5944384
3025 Gum Ct,,B,Existing,224000,,$9.87 - 12.06 (Est.),Warehouse,Chesapeake,100.00,2001,,224000,0.66,,,123,,,,2024 Tax @ $0.9502/sf,,,0,None,,,512,36.8396680,-76.4364984
7000 Harbour View Blvd,,B,Existing,414599,,$8.25 - 10.08 (Est.),Distribution,Suffolk,100.00,2001,,414599,,,,45,,,,2025 Tax @ $1.6399/sf,,,0,"2/12'0""w x 14'0""h",,,325,36.8892286,-76.4338935
0 Harley Club Dr,Building D,A,Under Construction,203000,,$6.08 - 7.39 (Est.),Distribution,Ashland,100.00,2026,,203000,0.82,"36'0""",50'w x 52'd,48,3000a 3p,,,2025 Tax @ $0.0609/sf,,,0,2,ESFR,,167,37.7341212,-77.4635282
600 Hays Ave,,B,Existing,216870,,$5.29 - 6.47 (Est.),Distribution,Staunton,100.00,1900,,216870,1.67,"20'0""",,5,3p,,Yes,2025 Tax @ $0.2082/sf,,,0,None,Wet,Yes,69,38.1480004,-79.0921036
2901 Hermitage Rd,,C,Existing,364553,,$8.46 - 10.34 (Est.),Warehouse,Richmond,0.00,1958,,364553,1.10,,,36,,,,2025 Tax @ $0.8589/sf,,,364553,"2/14'0""w x 16'0""h",,,400,37.5713465,-77.4594153
140 Hollie Dr,,B,Existing,300000,,$8.19 - 10.01 (Est.),Warehouse,Martinsville,100.00,1993,,300000,0.31,"29'0""",,15,,,,2025 Tax @ $0.0874/sf,,,0,None,,,92,36.7325484,-79.8778314
229 Hollie Dr,,B,Existing,204545,184856,$4.99 - 6.10 (Est.),Warehouse,Martinsville,100.00,1991,,194318,,,,,,,,2024 Tax @ $0.1581/sf,,184856,0,,,,,36.7354434,-79.8774500
5617 Industrial Dr,Amazon,B,Existing,371340,,$11.75 - 14.36 (Est.),Warehouse,Springfield,100.00,1965,1999,371340,1.88,"26'0""",37'w x 45'd,28,800a/277-480v 3p,,City,2024 Tax @ $1.6672/sf,,,0,"12/13'0""w x 14'0""h",Wet,City,750,38.7987140,-77.1695050
1500 Industrial Rd,,B,Existing,209681,,$2.52 - 3.08 (Est.),Warehouse,Marion,100.00,1960,1972,209681,0.72,"27'0""",,10,2000a/277v 3p,,City,2025 Tax @ $0.0173/sf,,,0,4,Wet,City,150,36.8400081,-81.4967822
15083 Industrial Park Rd,,C,Existing,234174,,$4.99 - 6.10 (Est.),Warehouse,Abingdon,100.00,1961,,234174,,,,,,,,2024 Tax @ $0.0644/sf,,,0,None,,,,36.6696473,-82.0968040
4050 Integrity Dr,,C,Existing,396650,,$4.84 - 5.92 (Est.),Warehouse,Roanoke,100.00,2004,,242860,0.12,,,20,,,,2024 Tax @ $0.5016/sf,,,0,None,,,50,37.3088498,-79.8788778
2525 International Pky,STIHL Finished Goods Warehouse,B,Existing,299997,,$9.70 - 11.85 (Est.),Distribution,Virginia Beach,100.00,2002,,299997,0.17,,,10,,,,2024 Tax @ $0.5778/sf,,,0,None,,,50,36.8092450,-76.0591960
750 Interstate View Dr,Main Campus - Red Stripe,A,Existing,216000,,$7.82 - 9.56 (Est.),Warehouse,Harrisonburg,100.00,2000,,216000,0.53,"30'0""",,34,,,,2025 Tax @ $0.3403/sf,,,0,,,,115,38.3902596,-78.9065987
